country,date,total
Algeria,15/01/2021,103381
Algeria,16/01/2021,103611
Algeria,17/01/2021,103833
Algeria,18/01/2021,104092
Algeria,19/01/2021,104341
Algeria,02/01/2021,100159
Algeria,20/01/2021,104606
Algeria,21/01/2021,104852
Algeria,22/01/2020,0
Algeria,22/01/2021,105124
Algeria,23/01/2020,0
Algeria,23/01/2021,105369
Algeria,24/01/2020,0
Algeria,24/01/2021,105596
Algeria,25/01/2020,0
Algeria,25/01/2021,105854
Algeria,26/01/2020,0
Algeria,26/01/2021,106097
Algeria,27/01/2020,0
Algeria,27/01/2021,106359
Algeria,28/01/2020,0
Algeria,28/01/2021,106610
Algeria,29/01/2020,0
Algeria,29/01/2021,106887
Algeria,03/01/2021,100408
Algeria,30/01/2020,0
Algeria,30/01/2021,107122
Algeria,31/01/2020,0
Algeria,31/01/2021,107339
Algeria,04/01/2021,100645
Algeria,05/01/2021,100873
Algeria,06/01/2021,101120
Algeria,07/01/2021,101382
Algeria,08/01/2021,101657
Algeria,09/01/2021,101913
Algeria,01/10/2020,51690
Algeria,10/10/2020,52940
Algeria,11/10/2020,53072
Algeria,12/10/2020,53325
Algeria,13/10/2020,53399
Algeria,14/10/2020,53584
Algeria,15/10/2020,53777
Algeria,16/10/2020,53998
Algeria,17/10/2020,54203
Algeria,18/10/2020,54402
Algeria,19/10/2020,54616
Algeria,02/10/2020,51847
Algeria,20/10/2020,54829
Algeria,21/10/2020,55081
Algeria,22/10/2020,55357
Algeria,23/10/2020,55630
Algeria,24/10/2020,55880
Algeria,25/10/2020,56143
Algeria,26/10/2020,56419
Algeria,27/10/2020,56706
Algeria,28/10/2020,57026
Algeria,29/10/2020,57332
Algeria,03/10/2020,51995
Algeria,30/10/2020,57651
Algeria,31/10/2020,57942
Algeria,04/10/2020,52136
Algeria,05/10/2020,52270
Algeria,06/10/2020,52399
Algeria,07/10/2020,52520
Algeria,08/10/2020,52658
Algeria,09/10/2020,52804
Algeria,01/11/2020,58272
Algeria,10/11/2020,63446
Algeria,11/11/2020,64257
Algeria,12/11/2020,65108
Algeria,13/11/2020,65975
Algeria,14/11/2020,66819
Algeria,15/11/2020,67679
Algeria,16/11/2020,68589
Algeria,17/11/2020,69591
Algeria,18/11/2020,70629
Algeria,19/11/2020,71652
Algeria,02/11/2020,58574
Algeria,20/11/2020,72755
Algeria,21/11/2020,73774
Algeria,22/11/2020,74862
Algeria,23/11/2020,75867
